course_id,short_name,long_name,account_id,term_id,status,integration_id,course_format
202710MU101F0110001,MU 101F 01,Baritone Horn,FA,202710,active,20271010001,on_campus
202710MU201F0110002,MU 201F 01,Baritone,FA,202710,active,20271010002,on_campus
202710MU301F0110003,MU 301F 01,Baritone,FA,202710,active,20271010003,on_campus
202710ET1410110004,ET 141 01,Basic Electronics,ET,202710,active,20271010004,on_campus
202710ET141L0110005,ET 141L 01,Basic Electronics Lab,ET,202710,active,20271010005,on_campus
202710ET2410110006,ET 241 01,Elec Power and Energy Conserv,ET,202710,active,20271010006,on_campus
202710ET241L0110007,ET 241L 01,Electric Power & Energy Lab,ET,202710,active,20271010007,on_campus
202710ET3410110008,ET 341 01,Fiber Optics,ET,202710,active,20271010008,on_campus
202710ET341L0110009,ET 341L 01,Fiber Optics Lab,ET,202710,active,20271010009,on_campus
202710ET2010110010,ET 201 01,Introduction To Architecture,ET,202710,active,20271010010,on_campus
202710ET3340110011,ET 334 01,Site Planning & Surveying,ET,202710,active,20271010011,on_campus
202710ET4460110012,ET 446 01,Construction Project Mngmnt,ET,202710,active,20271010012,on_campus
202710ET2220110013,ET 222 01,Constr Mthds & Mat I,ET,202710,active,20271010013,on_campus
202710ET3740110014,ET 374 01,Technical Writing,ET,202710,active,20271010014,on_campus
202710ET1910110015,ET 191 01,Seminar,ET,202710,active,20271010015,on_campus
202710MU401F0110016,MU 401F 01,Baritone,FA,202710,active,20271010016,on_campus
202710ET491E0110017,ET 491 E01,Seminar,ET,202710,active,20271010017,online
202710MU101G0110018,MU 101G 01,French Horn,FA,202710,active,20271010018,on_campus
202710ET4990110019,ET 499 01,Senior Project,ET,202710,active,20271010019,on_campus
202710ET2030110020,ET 203 01,Introduction to CADD,ET,202710,active,20271010020,on_campus
202710ET4010110021,ET 401 01,CADD Structural Drafting,ET,202710,active,20271010021,on_campus
202710ET1010110023,ET 101 01,Print Reading,ET,202710,active,20271010023,on_campus
202710MU201G0110024,MU 201G 01,French Horn,FA,202710,active,20271010024,on_campus
202710ET482HE110025,ET 482 HE1,Industrial Psychology,ET,202710,active,20271010025,blended
202710MU301G0110026,MU 301G 01,French Horn,FA,202710,active,20271010026,on_campus
